text,is_valid_complaint,
Era hora pobre gente van y lo hacen esperar afuera dónde están todos los consultorios y son personas que se ponen impacientes,0
"Hace rato trato de pedir turno para tramitar o discapacidad y no puedo , no hay internet , no funciona la página que pasa alguien puede decir  algo ????en M Argentina me mandan a Formosa un poco lejos no???",1
San Isidro Municipio  pueden pasar por el barrio santa rita a destapar las cloacas  qué se están rebalsando por todos lados y a solucionar el problema del agua que tenemos en los edificios  .. vienen del municipio y nadie hace nada... nadie da ninguna solución ..,1
"El Primer Paciente tiene que ser el Intendente Ramón Lanús, háganle un psicotécnico a ver que dice el diagnóstico porque esta destruyendo San Isidro y al mismo tiempo maltrata al que no piensan como él como ocurrió con los alumnos y familiares del Polivalente de Martínez, en las redes sociales bloquea , elimina comentarios ,  es un peligro para nuestra comunidad. 🙏",0
Excelente!!!!👏👏👏👏👏,0
"LADRÓN LANUS DECIME CUANTOS PACIENTES INTERNARON ALGUNA VEZ EN EL HOSPITAL? NI UNO!!! QUE SE HAGA CARGO LA FAMILIA,GRACIAS SI TE DAN TURNO PARA UN SIQUIATRA MENTIROSO DE ACA!!!👇🏻
LADRÓN LANUS ESTO ES TU CULPA DEJA DE ROBAR SOS TAN LADRÓN COMO LOS QUE NOS SAQUEAN! VOS,CASTELLANO, FONTANET, MATEO,PEREYRA SON UNA BANDA DE CHORROS! CON POSSE TENÍAMOS EL PATRULLAJE MUNICIPAL SAN ISIDRO, BECCAR, ACASUSSO, MARTINEZ, VILLA ADELINA, BOULOGNE Y HASTA 5 PATRULLEROS JUNTOS PASABAN Y VOS QUERÉS COMPRAR 14 CAMIONETAS? O COMPRASTE! CURRANDO COMO CON LAS MOTOS Y LAS CÁMARAS,TODO ES ROBO CON USTEDES,COBRAS HASTA PARA CARGAR COMBUSTIBLE ! SIN HOSPITAL, SEGURIDAD, ESCUELAS,CHORRO SOS EL BAEZ DE CFK DELINCUENTE 
👇🏻
https://www.instagram.com/reel/DJcPOoouEn9/?igsh=YzljYTk1ODg3Zg==

Lanus se nos rie👇🏻
https://www.instagram.com/reel/DJTFEE9Mf_r/?igsh=YzljYTk1ODg3Zg==
Que el intendente de la cara👇🏻
https://www.instagram.com/p/DIU3i58uTKe/?igsh=YzljYTk1ODg3Zg==

Ladrón Lanus respondé👇🏻
https://www.instagram.com/reel/DJYRcTCMF2g/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS CARGANDO A LOS CHICOS QUE LO VOTARON Y LES SACA EL COLEGIO👇🏻

https://www.instagram.com/reel/DJFXjn9pnMx/?igsh=YzljYTk1ODg3Zg==

La SEGURIDAD DE LADRÓN LANUS👇🏻
https://www.instagram.com/reel/DJD5ggbuuAl/?igsh=YzljYTk1ODg3Zg==

Mentiras de LADRÓN LANUS 👇🏻

https://www.instagram.com/reel/DJGViCesez-/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS SACÓ LOS PATRULLEROS ASÍ ESTAMOS 👇🏻
https://www.instagram.com/reel/DIKf4fTM6rz/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS SE QUEJA PORQUE PEDIMOS SEA INTERPELADO ,POR LADRÓN 👇🏻
https://www.instagram.com/reel/DI91i_7JyQ4/?igsh=YzljYTk1ODg3Zg==
LADRÓN LANUS NI VACUNAS HAY👇🏻

https://www.instagram.com/reel/DITVsSCxho-/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS MINTIÓ 👇🏻
https://www.instagram.com/reel/DHjvD5ZMdAR/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS MINTIÓ COMO SIEMPRE LA GENTE RECLAMA👇🏻
https://www.instagram.com/reel/DG6T4aCpbmr/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS ANDATE👇🏻
https://www.instagram.com/reel/DIFS7U1MvGZ/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS Y EL ABANDONO DEL BAJO ,POSSE MANDABA CUADRILLAS,FRAZADAS,ALIMENTOS, COLCHONES ESTE SICOPATA NADA!👇🏻

https://www.instagram.com/reel/DGv_41QJDaK/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS SACO LOS BANCOS DEL HOSPITAL😳 SERA OARA QUE NO DUERMAN INDIGENTES Y ESCONDER LIS POBRES,COMO LOS KIRCHNERISTAS?👇🏻
https://www.instagram.com/reel/DGpBmcqsyFQ/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS EL ABANDONO TOTAL DEL Hospital Central PARTE UNA DE TANTAS!👇🏻
https://www.instagram.com/reel/DGhIIAbsWYx/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS ABANDONO Hospital Central PARTE MIL👇🏻
https://www.instagram.com/reel/DEfr345JaoR/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS,OTRO ROBO👇🏻
https://www.instagram.com/reel/DEWgCw_MBgd/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS AUMENTÓ 256% LOS IMPUESTOS Y SE AUMENTÓ LA DIETA 5 VECES! 16 ASESORES COBRAN 6 PALOS CADA UNO! 👇🏻
https://www.instagram.com/reel/DDgD7cBsIY8/?igsh=YzljYTk1ODg3Zg==",0
,0
👏👏🙏🙏🙏,0
"Lanus maltratador de los empleados municipales, joven, catolico, honesto, austero???? Republicano????? Que joda es esto????",0
"Sin baños, nada para hacer en ese lugar,  que aburrido san isidro.",0
