post_id,post_message,post_time,post_shares,post_comments_count,post_reactions_count,comment_id,comment_from,comment_psid,comment_text,comment_time,comment_likes
261674953942913_980139604320153,"La nueva Unidad de Salud Mental en el Hospital Central fue diseñada para brindar atención integral y especializada en un entorno seguro, moderno y humanizado.

Esta nueva unidad nos permite mejorar el diagnóstico, tratamiento y seguimiento de los pacientes, descomprimir la guardia y dar una respuesta más rápida y eficaz a una problemática que crece día a día.",2025-05-09T14:41:05+0000,0,8,51,980139604320153_728001272985941,,,Era hora pobre gente van y lo hacen esperar afuera dónde están todos los consultorios y son personas que se ponen impacientes,2025-05-09T22:34:33+0000,0
261674953942913_980139604320153,"La nueva Unidad de Salud Mental en el Hospital Central fue diseñada para brindar atención integral y especializada en un entorno seguro, moderno y humanizado.

Esta nueva unidad nos permite mejorar el diagnóstico, tratamiento y seguimiento de los pacientes, descomprimir la guardia y dar una respuesta más rápida y eficaz a una problemática que crece día a día.",2025-05-09T14:41:05+0000,0,8,51,980139604320153_1860618711465774,,,"Hace rato trato de pedir turno para tramitar o discapacidad y no puedo , no hay internet , no funciona la página que pasa alguien puede decir  algo ????en M Argentina me mandan a Formosa un poco lejos no???",2025-05-09T22:21:10+0000,0
261674953942913_980139604320153,"La nueva Unidad de Salud Mental en el Hospital Central fue diseñada para brindar atención integral y especializada en un entorno seguro, moderno y humanizado.

Esta nueva unidad nos permite mejorar el diagnóstico, tratamiento y seguimiento de los pacientes, descomprimir la guardia y dar una respuesta más rápida y eficaz a una problemática que crece día a día.",2025-05-09T14:41:05+0000,0,8,51,980139604320153_9458189844307815,,,San Isidro Municipio  pueden pasar por el barrio santa rita a destapar las cloacas  qué se están rebalsando por todos lados y a solucionar el problema del agua que tenemos en los edificios  .. vienen del municipio y nadie hace nada... nadie da ninguna solución ..,2025-05-09T17:43:00+0000,0
261674953942913_980139604320153,"La nueva Unidad de Salud Mental en el Hospital Central fue diseñada para brindar atención integral y especializada en un entorno seguro, moderno y humanizado.

Esta nueva unidad nos permite mejorar el diagnóstico, tratamiento y seguimiento de los pacientes, descomprimir la guardia y dar una respuesta más rápida y eficaz a una problemática que crece día a día.",2025-05-09T14:41:05+0000,0,8,51,980139604320153_1602103857140584,,,"El Primer Paciente tiene que ser el Intendente Ramón Lanús, háganle un psicotécnico a ver que dice el diagnóstico porque esta destruyendo San Isidro y al mismo tiempo maltrata al que no piensan como él como ocurrió con los alumnos y familiares del Polivalente de Martínez, en las redes sociales bloquea , elimina comentarios ,  es un peligro para nuestra comunidad. 🙏",2025-05-09T19:06:16+0000,3
261674953942913_980139604320153,"La nueva Unidad de Salud Mental en el Hospital Central fue diseñada para brindar atención integral y especializada en un entorno seguro, moderno y humanizado.

Esta nueva unidad nos permite mejorar el diagnóstico, tratamiento y seguimiento de los pacientes, descomprimir la guardia y dar una respuesta más rápida y eficaz a una problemática que crece día a día.",2025-05-09T14:41:05+0000,0,8,51,980139604320153_1052716580053191,,,Excelente!!!!👏👏👏👏👏,2025-05-10T00:10:33+0000,0
261674953942913_980139604320153,"La nueva Unidad de Salud Mental en el Hospital Central fue diseñada para brindar atención integral y especializada en un entorno seguro, moderno y humanizado.

Esta nueva unidad nos permite mejorar el diagnóstico, tratamiento y seguimiento de los pacientes, descomprimir la guardia y dar una respuesta más rápida y eficaz a una problemática que crece día a día.",2025-05-09T14:41:05+0000,0,8,51,980139604320153_2343377506045296,,,"LADRÓN LANUS DECIME CUANTOS PACIENTES INTERNARON ALGUNA VEZ EN EL HOSPITAL? NI UNO!!! QUE SE HAGA CARGO LA FAMILIA,GRACIAS SI TE DAN TURNO PARA UN SIQUIATRA MENTIROSO DE ACA!!!👇🏻
LADRÓN LANUS ESTO ES TU CULPA DEJA DE ROBAR SOS TAN LADRÓN COMO LOS QUE NOS SAQUEAN! VOS,CASTELLANO, FONTANET, MATEO,PEREYRA SON UNA BANDA DE CHORROS! CON POSSE TENÍAMOS EL PATRULLAJE MUNICIPAL SAN ISIDRO, BECCAR, ACASUSSO, MARTINEZ, VILLA ADELINA, BOULOGNE Y HASTA 5 PATRULLEROS JUNTOS PASABAN Y VOS QUERÉS COMPRAR 14 CAMIONETAS? O COMPRASTE! CURRANDO COMO CON LAS MOTOS Y LAS CÁMARAS,TODO ES ROBO CON USTEDES,COBRAS HASTA PARA CARGAR COMBUSTIBLE ! SIN HOSPITAL, SEGURIDAD, ESCUELAS,CHORRO SOS EL BAEZ DE CFK DELINCUENTE 
👇🏻
https://www.instagram.com/reel/DJcPOoouEn9/?igsh=YzljYTk1ODg3Zg==

Lanus se nos rie👇🏻
https://www.instagram.com/reel/DJTFEE9Mf_r/?igsh=YzljYTk1ODg3Zg==
Que el intendente de la cara👇🏻
https://www.instagram.com/p/DIU3i58uTKe/?igsh=YzljYTk1ODg3Zg==

Ladrón Lanus respondé👇🏻
https://www.instagram.com/reel/DJYRcTCMF2g/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS CARGANDO A LOS CHICOS QUE LO VOTARON Y LES SACA EL COLEGIO👇🏻

https://www.instagram.com/reel/DJFXjn9pnMx/?igsh=YzljYTk1ODg3Zg==

La SEGURIDAD DE LADRÓN LANUS👇🏻
https://www.instagram.com/reel/DJD5ggbuuAl/?igsh=YzljYTk1ODg3Zg==

Mentiras de LADRÓN LANUS 👇🏻

https://www.instagram.com/reel/DJGViCesez-/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS SACÓ LOS PATRULLEROS ASÍ ESTAMOS 👇🏻
https://www.instagram.com/reel/DIKf4fTM6rz/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS SE QUEJA PORQUE PEDIMOS SEA INTERPELADO ,POR LADRÓN 👇🏻
https://www.instagram.com/reel/DI91i_7JyQ4/?igsh=YzljYTk1ODg3Zg==
LADRÓN LANUS NI VACUNAS HAY👇🏻

https://www.instagram.com/reel/DITVsSCxho-/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS MINTIÓ 👇🏻
https://www.instagram.com/reel/DHjvD5ZMdAR/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS MINTIÓ COMO SIEMPRE LA GENTE RECLAMA👇🏻
https://www.instagram.com/reel/DG6T4aCpbmr/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS ANDATE👇🏻
https://www.instagram.com/reel/DIFS7U1MvGZ/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS Y EL ABANDONO DEL BAJO ,POSSE MANDABA CUADRILLAS,FRAZADAS,ALIMENTOS, COLCHONES ESTE SICOPATA NADA!👇🏻

https://www.instagram.com/reel/DGv_41QJDaK/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS SACO LOS BANCOS DEL HOSPITAL😳 SERA OARA QUE NO DUERMAN INDIGENTES Y ESCONDER LIS POBRES,COMO LOS KIRCHNERISTAS?👇🏻
https://www.instagram.com/reel/DGpBmcqsyFQ/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS EL ABANDONO TOTAL DEL Hospital Central PARTE UNA DE TANTAS!👇🏻
https://www.instagram.com/reel/DGhIIAbsWYx/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS ABANDONO Hospital Central PARTE MIL👇🏻
https://www.instagram.com/reel/DEfr345JaoR/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS,OTRO ROBO👇🏻
https://www.instagram.com/reel/DEWgCw_MBgd/?igsh=YzljYTk1ODg3Zg==

LADRÓN LANUS AUMENTÓ 256% LOS IMPUESTOS Y SE AUMENTÓ LA DIETA 5 VECES! 16 ASESORES COBRAN 6 PALOS CADA UNO! 👇🏻
https://www.instagram.com/reel/DDgD7cBsIY8/?igsh=YzljYTk1ODg3Zg==",2025-05-09T19:20:57+0000,0
261674953942913_980139604320153,"La nueva Unidad de Salud Mental en el Hospital Central fue diseñada para brindar atención integral y especializada en un entorno seguro, moderno y humanizado.

Esta nueva unidad nos permite mejorar el diagnóstico, tratamiento y seguimiento de los pacientes, descomprimir la guardia y dar una respuesta más rápida y eficaz a una problemática que crece día a día.",2025-05-09T14:41:05+0000,0,8,51,980139604320153_2539707266368429,,,,2025-05-09T15:02:33+0000,0
261674953942913_980139604320153,"La nueva Unidad de Salud Mental en el Hospital Central fue diseñada para brindar atención integral y especializada en un entorno seguro, moderno y humanizado.

Esta nueva unidad nos permite mejorar el diagnóstico, tratamiento y seguimiento de los pacientes, descomprimir la guardia y dar una respuesta más rápida y eficaz a una problemática que crece día a día.",2025-05-09T14:41:05+0000,0,8,51,980139604320153_1262802359031011,,,👏👏🙏🙏🙏,2025-05-09T15:17:55+0000,1
261674953942913_979546117712835,"Conmemoramos el bicentenario de la heroica gesta de los Treinta y Tres Orientales que partieron desde nuestra costa a liberar a la hermana República Oriental del Uruguay, un hecho histórico que une a nuestros pueblos en una misma causa: la libertad.

Parte del homenaje a estos héroes fue la inauguración del nuevo Paseo Costero 33 Orientales, en Beccar, donde se encuentra el monumento a estos históricos valientes. Tanto el paseo como los monumentos fueron completamente renovados y restaurados para que vecinos y visitantes puedan conocer y valorar este capítulo clave de nuestra historia compartida.

Compartimos este momento histórico con representanes de la Embajada del Uruguay, representantes de instituciones del país vecino, funcionarios municipales y representantes de la Prefectura Naval Argentina.",2025-05-08T16:25:27+0000,0,5,55,979546117712835_1518579605768630,,,"Lanus maltratador de los empleados municipales, joven, catolico, honesto, austero???? Republicano????? Que joda es esto????",2025-05-08T21:58:59+0000,0
261674953942913_979546117712835,"Conmemoramos el bicentenario de la heroica gesta de los Treinta y Tres Orientales que partieron desde nuestra costa a liberar a la hermana República Oriental del Uruguay, un hecho histórico que une a nuestros pueblos en una misma causa: la libertad.

Parte del homenaje a estos héroes fue la inauguración del nuevo Paseo Costero 33 Orientales, en Beccar, donde se encuentra el monumento a estos históricos valientes. Tanto el paseo como los monumentos fueron completamente renovados y restaurados para que vecinos y visitantes puedan conocer y valorar este capítulo clave de nuestra historia compartida.

Compartimos este momento histórico con representanes de la Embajada del Uruguay, representantes de instituciones del país vecino, funcionarios municipales y representantes de la Prefectura Naval Argentina.",2025-05-08T16:25:27+0000,0,5,55,979546117712835_614179474965496,,,"Sin baños, nada para hacer en ese lugar,  que aburrido san isidro.",2025-05-08T17:38:02+0000,2
